"Species","Country","TOT_KNOWN","ENDANGERED","CRITICAL","VULNERABLE","THREATENED"
"Birds","Poland",489,8,11,15,39
"Birds","Finland",262,49,23,43,125
"Lichens","Switzerland",687,135,45,546,1356
"Amphibians","Spain",105,6,3,10,25
"Mammals","Greece",126,13,7,22,29
"Marine Fish","New Zealand",1187,NA,NA,NA,NA
"Birds","Norway",234,15,11,17,55
"Amphibians","Norway",5,NA,NA,NA,NA
"Amphibians","Belgium",15,3,NA,23,17
"Reptiles","Denmark",10,5,3,3,9
"Marine Fish","Costa Rica",2012,4,1,2,34
"Lichens","Türkiye",687,NA,NA,NA,NA
"Freshwater Fish","Korea",384,NA,NA,NA,NA
"Amphibians","Korea",140,5,4,7,29
"Lichens","Brazil",NA,104,115,94,354
"Reptiles","Switzerland",19,4,5,3,12
"Mammals","Canada",185,7,4,23,17
"Vascular plants","Austria",3607,152,18,272,312
"Marine Fish","Switzerland",51,3,1,5,9
"Mammals","Australia",377,NA,5,10,20
"Mosses","Portugal",470,30,30,43,122
"Lichens","New Zealand",2677,24,19,48,98
"Birds","Netherlands",131,19,26,13,51
"Vascular plants","Canada",4606,369,254,1036,1079
"Fish","Norway",197,6,4,6,17
"Fish","Mexico",5058,60,10,76,204
"Reptiles","Portugal",23,3,NA,6,5
"Freshwater Fish","Chile",85,NA,3,NA,NA
"Amphibians","United Kingdom",21,2,1,6,8
"Amphibians","Italy",23,3,5,14,13
"Freshwater Fish","Japan",85,10,18,15,28
"Invertebrates","Netherlands",10371,39,26,45,113
"Vascular plants","Norway",1395,110,57,123,243
"Freshwater Fish","Chile",163,23,0,21,38
"Birds","Korea",890,28,30,87,156
"Fish","Japan",2600,40,6,44,97
"Mosses","Poland",705,30,20,44,98
"Freshwater Fish","Ireland",28,NA,NA,4,5
"Amphibians","Russia",24,NA,NA,NA,16
"Amphibians","Spain",39,1,1,5,8
"Birds","Denmark",233,8,4,5,48
"Vascular plants","Latvia",2013,171,18,247,631
"Mammals","Japan",400,98,253,46,311
"Marine Fish","Portugal",57,NA,1,NA,4
"Vascular plants","Ireland",1395,51,13,85,106
"Lichens","Lithuania",556,58,17,83,179
"Mammals","Norway",53,1,1,2,2
"Reptiles","Mexico",638,NA,0,NA,NA
"Marine Fish","Belgium",132,NA,NA,NA,4
"Mammals","Sweden",71,5,6,6,17
"Fish","New Zealand",1405,NA,9,NA,NA
"Vascular plants","Russia",NA,NA,NA,NA,NA
"Freshwater Fish","Brazil",NA,NA,NA,NA,35
"Freshwater Fish","France",80,6,3,2,6
"Birds","Australia",638,24,16,43,95
"Invertebrates","Canada",30054,477,212,785,1790
"Vascular plants","Germany",4469,369,199,2183,1052
"Freshwater Fish","Japan",185,9,15,22,36
"Reptiles","Slovenia",15,NA,NA,NA,NA
"Birds","Belgium",131,8,2,12,55
"Reptiles","New Zealand",125,NA,NA,NA,NA
"Amphibians","Portugal",66,14,NA,16,23
"Reptiles","Korea",196,11,3,1,22
"Marine Fish","Russia",NA,NA,NA,NA,22
"Reptiles","Czech Republic",15,3,0,4,11
"Birds","Slovak Republic",253,24,14,45,97
"Fish","Austria",163,10,9,16,37
"Invertebrates","Canada",38487,1010,212,820,1790
"Freshwater Fish","Canada",72,9,7,19,28
"Marine Fish","Czech Republic",57,4,5,1,35
"Birds","Belgium",131,15,19,22,237
"Vascular plants","Canada",4469,412,193,820,1079
"Vascular plants","Poland",3141,152,124,101,328
"Birds","Japan",640,60,84,56,162
"Amphibians","Hungary",13,3,NA,2,2
"Birds","New Zealand",278,12,11,28,26
"Mammals","Australia",315,44,12,20,60
"Mammals","United Kingdom",87,4,1,4,11
"Mosses","Switzerland",1153,102,88,139,312
"Reptiles","Finland",14,0,1,1,4
"Reptiles","Iceland",13,NA,NA,NA,NA
"Mosses","Japan",2020,75,71,56,209
"Marine Fish","Germany",205,7,1,1,6
"Amphibians","Russia",NA,NA,NA,NA,7
"Birds","Türkiye",700,30,23,17,71
"Mammals","New Zealand",68,NA,NA,NA,NA
"Reptiles","France",20,5,3,3,9
"Fish","Finland",43,0,3,5,9
"Vascular plants","Netherlands",1818,97,111,48,240
"Lichens","Czech Republic",1508,169,45,169,527
"Freshwater Fish","Costa Rica",163,20,9,3,22
"Birds","Canada",440,28,9,43,94
"Reptiles","Canada",39,3,2,24,12
"Vascular plants","Brazil",NA,7,0,6,1
"Vascular plants","Spain",7000,199,105,418,1356
"Freshwater Fish","Finland",54,0,2,6,10
"Birds","Denmark",211,20,20,33,99
"Fish","Australia",5058,5,17,10,20
"Vascular plants","Korea",4305,74,24,85,179
"Mammals","Russia",NA,NA,NA,NA,NA
"Birds","Latvia",238,20,9,20,63
"Vascular plants","Chile",7586,246,103,131,545
"Amphibians","Australia",377,54,10,43,169
"Vascular plants","Italy",8249,241,98,247,545
"Birds","Portugal",396,54,17,51,169
"Reptiles","Lithuania",7,0,NA,1,4
"Fish","United Kingdom",896,41,26,74,106
"Birds","Estonia",262,30,24,43,101
"Fish","Spain",2012,18,11,20,36
"Fish","France",83,5,3,6,11
"Invertebrates","Korea",114940,136,75,204,387
"Reptiles","Slovenia",12,9,NA,3,22
"Lichens","Norway",1650,155,57,109,173
