IUCN,IUCN Category,SPEC,Species,COU,Country,Value
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,AUS,Australia,377.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,AUS,Australia,41.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,AUS,Australia,9.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,AUS,Australia,57.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,AUS,Australia,107.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,AUT,Austria,104.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,AUT,Austria,6.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,AUT,Austria,4.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,AUT,Austria,17.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,AUT,Austria,27.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,BEL,Belgium,84.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,BEL,Belgium,2.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,BEL,Belgium,4.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,BEL,Belgium,12.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,BEL,Belgium,18.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CAN,Canada,222.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,CAN,Canada,11.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CAN,Canada,33.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,CAN,Canada,55.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CZE,Czech Republic,92.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,CZE,Czech Republic,1.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,CZE,Czech Republic,10.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CZE,Czech Republic,4.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,CZE,Czech Republic,15.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,DNK,Denmark,71.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,DNK,Denmark,2.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,DNK,Denmark,1.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,DNK,Denmark,6.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,DNK,Denmark,9.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,FIN,Finland,71.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,FIN,Finland,4.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,FIN,Finland,1.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,FIN,Finland,3.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,FIN,Finland,8.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,FRA,France,125.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,FRA,France,4.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,FRA,France,3.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,FRA,France,10.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,FRA,France,17.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,DEU,Germany,107.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,DEU,Germany,10.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,DEU,Germany,7.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,DEU,Germany,22.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,DEU,Germany,39.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,GRC,Greece,115.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,GRC,Greece,13.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,GRC,Greece,3.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,GRC,Greece,13.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,GRC,Greece,29.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,HUN,Hungary,87.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,HUN,Hungary,3.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,HUN,Hungary,5.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,HUN,Hungary,6.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,HUN,Hungary,14.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,ISL,Iceland,4.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,IRL,Ireland,57.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,IRL,Ireland,1.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,IRL,Ireland,1.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,ITA,Italy,126.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,ITA,Italy,8.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,ITA,Italy,2.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,ITA,Italy,13.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,ITA,Italy,23.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,JPN,Japan,160.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,JPN,Japan,13.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,JPN,Japan,12.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,JPN,Japan,9.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,JPN,Japan,34.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,KOR,Korea,125.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,KOR,Korea,5.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,KOR,Korea,2.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,KOR,Korea,7.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,KOR,Korea,14.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,MEX,Mexico,564.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,MEX,Mexico,49.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,MEX,Mexico,9.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,MEX,Mexico,90.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,MEX,Mexico,148.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,NLD,Netherlands,53.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,NLD,Netherlands,0.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,NLD,Netherlands,2.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,NLD,Netherlands,8.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,NLD,Netherlands,10.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,NZL,New Zealand,50.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,NOR,Norway,71.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,NOR,Norway,8.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,NOR,Norway,3.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,NOR,Norway,6.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,NOR,Norway,17.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,POL,Poland,112.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,POL,Poland,10.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,POL,Poland,2.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,POL,Poland,1.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,POL,Poland,13.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,PRT,Portugal,158.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,PRT,Portugal,7.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,PRT,Portugal,11.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,PRT,Portugal,13.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,PRT,Portugal,31.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,SVK,Slovak Republic,90.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,SVK,Slovak Republic,6.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,SVK,Slovak Republic,2.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,SVK,Slovak Republic,12.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,SVK,Slovak Republic,20.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,ESP,Spain,172.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,ESP,Spain,6.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,ESP,Spain,2.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,ESP,Spain,18.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,ESP,Spain,26.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,SWE,Sweden,65.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,SWE,Sweden,4.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,SWE,Sweden,1.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,SWE,Sweden,4.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,SWE,Sweden,9.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CHE,Switzerland,97.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,CHE,Switzerland,12.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,CHE,Switzerland,5.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CHE,Switzerland,16.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,CHE,Switzerland,33.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,TUR,Türkiye,175.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,TUR,Türkiye,5.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,TUR,Türkiye,3.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,TUR,Türkiye,15.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,TUR,Türkiye,23.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,GBR,United Kingdom,107.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,GBR,United Kingdom,4.0
CRITICAL,Number of critically endangered species,MAMMAL,Mammals,GBR,United Kingdom,2.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,GBR,United Kingdom,5.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,GBR,United Kingdom,11.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CHL,Chile,185.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,CHL,Chile,13.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CHL,Chile,20.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,CHL,Chile,36.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,EST,Estonia,66.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,EST,Estonia,1.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,EST,Estonia,3.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,RUS,Russia,34.0
TOT_KNOWN,Total number of known species,MAMMAL,Mammals,SVN,Slovenia,89.0
ENDANGERED,Number of endangered species,MAMMAL,Mammals,SVN,Slovenia,19.0
VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,SVN,Slovenia,15.0
THREATENED,Total number of threatened species,MAMMAL,Mammals,SVN,Slovenia,34.0
TOT_KNOWN,Total number of known species,BIRD,Birds,AUS,Australia,798.0
ENDANGERED,Number of endangered species,BIRD,Birds,AUS,Australia,55.0
CRITICAL,Number of critically endangered species,BIRD,Birds,AUS,Australia,17.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,AUS,Australia,63.0
THREATENED,Total number of threatened species,BIRD,Birds,AUS,Australia,135.0
TOT_KNOWN,Total number of known species,BIRD,Birds,AUT,Austria,229.0
ENDANGERED,Number of endangered species,BIRD,Birds,AUT,Austria,24.0
CRITICAL,Number of critically endangered species,BIRD,Birds,AUT,Austria,14.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,AUT,Austria,28.0
THREATENED,Total number of threatened species,BIRD,Birds,AUT,Austria,66.0
TOT_KNOWN,Total number of known species,BIRD,Birds,BEL,Belgium,198.0
ENDANGERED,Number of endangered species,BIRD,Birds,BEL,Belgium,15.0
CRITICAL,Number of critically endangered species,BIRD,Birds,BEL,Belgium,20.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,BEL,Belgium,20.0
THREATENED,Total number of threatened species,BIRD,Birds,BEL,Belgium,55.0
TOT_KNOWN,Total number of known species,BIRD,Birds,CAN,Canada,691.0
ENDANGERED,Number of endangered species,BIRD,Birds,CAN,Canada,22.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,CAN,Canada,52.0
THREATENED,Total number of threatened species,BIRD,Birds,CAN,Canada,97.0
TOT_KNOWN,Total number of known species,BIRD,Birds,CZE,Czech Republic,221.0
ENDANGERED,Number of endangered species,BIRD,Birds,CZE,Czech Republic,28.0
CRITICAL,Number of critically endangered species,BIRD,Birds,CZE,Czech Republic,35.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,CZE,Czech Republic,36.0
THREATENED,Total number of threatened species,BIRD,Birds,CZE,Czech Republic,99.0
TOT_KNOWN,Total number of known species,BIRD,Birds,DNK,Denmark,241.0
ENDANGERED,Number of endangered species,BIRD,Birds,DNK,Denmark,15.0
CRITICAL,Number of critically endangered species,BIRD,Birds,DNK,Denmark,24.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,DNK,Denmark,45.0
THREATENED,Total number of threatened species,BIRD,Birds,DNK,Denmark,84.0
TOT_KNOWN,Total number of known species,BIRD,Birds,FIN,Finland,253.0
ENDANGERED,Number of endangered species,BIRD,Birds,FIN,Finland,33.0
CRITICAL,Number of critically endangered species,BIRD,Birds,FIN,Finland,18.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,FIN,Finland,35.0
THREATENED,Total number of threatened species,BIRD,Birds,FIN,Finland,86.0
TOT_KNOWN,Total number of known species,BIRD,Birds,FRA,France,396.0
ENDANGERED,Number of endangered species,BIRD,Birds,FRA,France,33.0
CRITICAL,Number of critically endangered species,BIRD,Birds,FRA,France,16.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,FRA,France,58.0
THREATENED,Total number of threatened species,BIRD,Birds,FRA,France,107.0
TOT_KNOWN,Total number of known species,BIRD,Birds,DEU,Germany,280.0
ENDANGERED,Number of endangered species,BIRD,Birds,DEU,Germany,24.0
CRITICAL,Number of critically endangered species,BIRD,Birds,DEU,Germany,30.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,DEU,Germany,40.0
THREATENED,Total number of threatened species,BIRD,Birds,DEU,Germany,94.0
TOT_KNOWN,Total number of known species,BIRD,Birds,GRC,Greece,440.0
ENDANGERED,Number of endangered species,BIRD,Birds,GRC,Greece,17.0
CRITICAL,Number of critically endangered species,BIRD,Birds,GRC,Greece,14.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,GRC,Greece,31.0
THREATENED,Total number of threatened species,BIRD,Birds,GRC,Greece,62.0
TOT_KNOWN,Total number of known species,BIRD,Birds,HUN,Hungary,238.0
ENDANGERED,Number of endangered species,BIRD,Birds,HUN,Hungary,20.0
CRITICAL,Number of critically endangered species,BIRD,Birds,HUN,Hungary,23.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,HUN,Hungary,35.0
THREATENED,Total number of threatened species,BIRD,Birds,HUN,Hungary,78.0
TOT_KNOWN,Total number of known species,BIRD,Birds,ISL,Iceland,75.0
ENDANGERED,Number of endangered species,BIRD,Birds,ISL,Iceland,11.0
CRITICAL,Number of critically endangered species,BIRD,Birds,ISL,Iceland,6.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,ISL,Iceland,16.0
THREATENED,Total number of threatened species,BIRD,Birds,ISL,Iceland,33.0
TOT_KNOWN,Total number of known species,BIRD,Birds,IRL,Ireland,489.0
ENDANGERED,Number of endangered species,BIRD,Birds,IRL,Ireland,54.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,IRL,Ireland,79.0
THREATENED,Total number of threatened species,BIRD,Birds,IRL,Ireland,133.0
TOT_KNOWN,Total number of known species,BIRD,Birds,ITA,Italy,278.0
ENDANGERED,Number of endangered species,BIRD,Birds,ITA,Italy,36.0
CRITICAL,Number of critically endangered species,BIRD,Birds,ITA,Italy,10.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,ITA,Italy,21.0
THREATENED,Total number of threatened species,BIRD,Birds,ITA,Italy,67.0
TOT_KNOWN,Total number of known species,BIRD,Birds,JPN,Japan,700.0
ENDANGERED,Number of endangered species,BIRD,Birds,JPN,Japan,31.0
CRITICAL,Number of critically endangered species,BIRD,Birds,JPN,Japan,24.0
VULNERABLE,Number of vulnerable species,BIRD,Birds,JPN,Japan,43.0
THREATENED,Total number of threatened species,BIRD,Birds,JPN,Japan,98.0
